Part 1 of 2, 9.00 ,,,,,,,,
Student ID,Program,Acad Plan,First Name,Middle,Last,Campus,User,Email ID,Proj Level
9859193,UMA50,ME,Harold,Susan,Jackson,UW,dbishop,sjackson@vinte.info,2A
5495481,UMA10,ME,Jessica,Tammy,Bishop,UW,cgibson,tbishop@buzzbean.name,2A
1029021,UMA10,MABAECOHC,Robin,Wayne,Simmons,UW,whall,wsimmons@yozio.net,1A
9116494,UMA10,MABAECOHC,Nicholas,Chris,Reed,UW,hcarter,creed@skiptube.name,2A
4297238,UMA50,MABAECOHC,Phillip,Laura,Elliott,UW,bmontgomery,lelliott@lazz.com,2B
6940193,UMA10,SYDE,Henry,Jacqueline,Vasquez,UW,jrose,jvasquez@flashpoint.gov,4B
7776497,UMA10,CSBHC,Victor,Ryan,Peterson,UW,bdixon,rpeterson@yakijo.name,4B
9525064,UMA50,SYDE,Philip,Jacqueline,Carpenter,UW,cstevens,jcarpenter@realbuzz.com,1A
7446252,UMA10,SYDE,Henry,Benjamin,Evans,UW,rweaver,bevans@thoughtsphere.net,1A
1051532,UMA10,CSBHC,William,Phillip,Hall,UW,agrant,phall@fivebridge.gov,1B
9159086,UMA10,CSBHC,Donna,Stephanie,Morales,UW,rcook,smorales@rhyloo.name,3A
2594683,UMA50,MABAECOHC,Marilyn,Tina,Wells,UW,gmiller,twells@gigashots.mil,1B
1936851,UMA50,MABAECOHC,Eugene,Patrick,Hansen,UW,rgarza,phansen@trilia.mil,2A
2849750,UMA50,MABAECOHC,Amanda,Eric,Stanley,UW,sgreen,estanley@janyx.name,3B
4109997,UMA50,MABAECOHC,Kathleen,Carlos,Shaw,UW,wdiaz,cshaw@edgepulse.gov,2A
1090395,UMA50,CSBHC,Judy,Arthur,Stewart,UW,jcunningham,astewart@ailane.info,1A
6439991,UMA10,CSBHC,Robert,Stephanie,Burton,UW,aroberts,sburton@jaxworks.mil,3B
2092840,UMA50,MABAECOHC,Judith,Henry,Freeman,UW,dhernandez,hfreeman@feedmix.info,1A
8382962,UMA50,SYDE,Patrick,Gary,Kelley,UW,afrazier,gkelley@zoonder.name,3A
4056472,UMA10,ME,Laura,Ruby,Palmer,UW,gfuller,rpalmer@twinte.biz,4B
1332647,UMA10,SYDE,Terry,Cheryl,Lopez,UW,eking,clopez@oodoo.org,1B
1054619,UMA50,ME,Donald,Betty,Peterson,UW,fscott,bpeterson@oyonder.net,3B
6224725,UMA10,MABAECOHC,Lisa,Michael,Wilson,UW,jmccoy,mwilson@linkbridge.name,2B
7069114,UMA10,MABAECOHC,Lori,Gloria,Olson,UW,walexander,golson@flipstorm.gov,1A
2179617,UMA10,SYDE,Victor,Judy,Rodriguez,UW,rturner,jrodriguez@feedspan.mil,4A
1669084,UMA50,ME,Andrea,Evelyn,Stewart,UW,briley,estewart@yodel.org,1A
4572118,UMA50,SYDE,Christopher,Larry,Greene,UW,escott,lgreene@skiba.com,3A
1876127,UMA10,SYDE,Lillian,Henry,Porter,UW,drobinson,hporter@thoughtworks.biz,4B
8066575,UMA10,SYDE,Robin,Amanda,Woods,UW,tryan,awoods@photojam.biz,1A
4094653,UMA50,ME,Antonio,Tammy,Jenkins,UW,amills,tjenkins@meembee.net,4B
3714915,UMA50,ME,Peter,Kimberly,Stewart,UW,wscott,kstewart@plajo.com,1A
5450670,UMA50,CSBHC,Jeffrey,Bonnie,Vasquez,UW,hharvey,bvasquez@voonix.com,2A
7716075,UMA50,CSBHC,Ryan,Philip,Henry,UW,agonzales,phenry@npath.org,2B
7602413,UMA10,SYDE,Deborah,Steve,Moreno,UW,jdunn,smoreno@leenti.info,4B
1283501,UMA50,SYDE,Johnny,Bobby,Ray,UW,ajackson,bray@skinix.com,3B
9902554,UMA50,MABAECOHC,Nicole,Karen,Robertson,UW,gfuller,krobertson@yambee.mil,1A
9222584,UMA50,MABAECOHC,Jeremy,Howard,Edwards,UW,wevans,hedwards@zoomlounge.edu,2A
7458759,UMA10,SYDE,Bobby,Jacqueline,Scott,UW,bharris,jscott@voomm.name,1A
