Part 1 of 2, 9.00 ,,,,,,,,
Student ID,Program,Acad Plan,First Name,Middle,Last,Campus,User,Email ID,Proj Level
21236878,UMA10,CSBHC,Joe,,Blow,UW,j234blow,j234blow@uwaterloo.ca,2B
21236878,UMA10,CSBHC,Joe,,Blow,UW,j234blow,j234blow@uwaterloo.ca,2B
37479785,UMA20,MABAECOHC,John,,Doe,UW,j542doe,j542doe@uwaterloo.ca,4B
43595621,UEN05,SYDE,Jane-Jane,Jane,Doe-Doe,UW,jjdoedoe,jjdoedoe@uwaterloo.ca,3B
19698612,UEN05,ME,Santa,Caluse,D'Doew,UW,scddoew,scddoew@uwaterloo.ca,3B
90202458,UES15,ENVBUSHC,Jesus,Hesus,Christ,UW,jhchrist,jhchrist@uwaterloo.ca,4A
57205532,UMA20,MATHFARMHC,Sun,,Tzu,UW,stzu,stzu@uwaterloo.ca,4A
22213365,UMA20,MATHBAHC,Gaius,Julius,Caesar,UW,gjcaesar,gjcaesar@uwaterloo.ca,4A
12343931,UAH05,RECTHERHC,Abu,al-Qasim Muhammad ibn Adb Allah ibn Abd al-Muttalib ibn,Hashim,UW,aahashim,aahashim@uwaterloo.ca,4A
12345275,UEN05,MECTR,Christopher,,Wiess-Schwartz,UW,cwiesssc,cwiesssc@uwaterloo.ca,3B
